unit_number,street_address_1,street_address_2,city,state,zip,building_number,association_number,folio,strap
1126,4109 BELLASOL CIRCLE,,FORT MYERS,FL,33916,11,1,10503636,31-44-25-P3-01311.1126
1822,4233 BELLASOL CIRCLE,,FORT MYERS,FL,33916,18,5,10512611,31-44-25-P3-01718.1822
1612,4225 BELLASOL CIRCLE,,FORT MYERS,FL,33916,16,2,10505970,31-44-25-P3-01416.1612
3321,4312 BELLASOL CIRCLE,,FORT MYERS,FL,33916,33,7,10508325,31-44-25-P3-01333.3321
2123,4267 BELLASOL CIRCLE,,FORT MYERS,FL,33916,21,5,10516499,31-44-25-P3-01721.2123
2121,4267 BELLASOL CIRCLE,,FORT MYERS,FL,33916,21,5,10516497,31-44-25-P3-01721.2121
2414,4287 BELLASOL CIRCLE,,FORT MYERS,FL,33916,24,6,10517099,31-44-25-P3-01824.2414
325,4133 BELLASOL CIRCLE,,FORT MYERS,FL,33916,3,2,10502567,31-44-25-P3-01403.0325
514,4191 BELLASOL CIRCLE,,FORT MYERS,FL,33916,5,3,10511498,31-44-25-P3-01505.0514
3011,4330 BELLASOL CIRCLE,,FORT MYERS,FL,33916,30,7,10499632,31-44-25-P3-01330.3011
1116,4109 BELLASOL CIRCLE,,FORT MYERS,FL,33916,11,1,10503630,31-44-25-P3-01311.1116
1614,4225 BELLASOL CIRCLE,,FORT MYERS,FL,33916,16,2,10505972,31-44-25-P3-01416.1614
1122,4109 BELLASOL CIRCLE,,FORT MYERS,FL,33916,11,1,10503632,31-44-25-P3-01311.1122
2622,4299 BELLASOL CIRCLE,,FORT MYERS,FL,33916,26,6,10517117,31-44-25-P3-01826.2622
323,4133 BELLASOL CIRCLE,,FORT MYERS,FL,33916,3,2,10502565,31-44-25-P3-01403.0323
3022,4330 BELLASOL CIRCLE,,FORT MYERS,FL,33916,30,7,10499635,31-44-25-P3-01330.3022
113,4117 BELLASOL CIRCLE,,FORT MYERS,FL,33916,1,1,10501864,31-44-25-P3-01301.0113
1723,4219 BELLASOL CIRCLE,,FORT MYERS,FL,33916,17,2,10508189,31-44-25-P3-01417.1723
2623,4299 BELLASOL CIRCLE,,FORT MYERS,FL,33916,26,6,10517118,31-44-25-P3-01826.2623
1522,4136 BELLASOL CIRCLE,,FORT MYERS,FL,33916,15,2,10505631,31-44-25-P3-01415.1522
2422,4287 BELLASOL CIRCLE,,FORT MYERS,FL,33916,24,6,10517101,31-44-25-P3-01824.2422
1013,4236 BELLASOL CIRCLE,,FORT MYERS,FL,33916,10,4,10511481,31-44-25-P3-01610.1013
313,4133 BELLASOL CIRCLE,,FORT MYERS,FL,33916,3,2,10502559,31-44-25-P3-01403.0313
1323,4104 BELLASOL CIRCLE,,FORT MYERS,FL,33916,13,1,10499777,31-44-25-P3-01313.1323
1922,4241 BELLASOL CIRCLE,,FORT MYERS,FL,33916,19,5,10515075,31-44-25-P3-01719.1922
215,4125 BELLASOL CIRCLE,,FORT MYERS,FL,33916,2,2,10502549,31-44-25-P3-01402.0215
2222,4275 BELLASOL CIRCLE,,FORT MYERS,FL,33916,22,5,10517689,31-44-25-P3-01722.2222
2213,4275 BELLASOL CIRCLE,,FORT MYERS,FL,33916,22,5,10517686,31-44-25-P3-01722.2213
1625,4225 BELLASOL CIRCLE,,FORT MYERS,FL,33916,16,2,10505979,31-44-25-P3-01416.1625
